Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
rifJ17,"-0,01362",0,"-0,070101",0,0,0,"2,9","0,0054767","1,963E-05","0,00015375","0,008238",0,"0,0076285",0,0,0,0,0,0,package://awjoint1750/meshes/rifJ17.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awjoint1750/meshes/rifJ17.STL,,J17-1,rifJ17,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
J17,0,0,"-0,0108",0,0,0,"0,35","0,00026398",0,0,"0,00026449",0,"0,00049327",0,0,0,0,0,0,package://awjoint1750/meshes/J17.STL,"0,8902","0,8902","0,91373",1,0,0,0,0,0,0,package://awjoint1750/meshes/J17.STL,,D103636-1,J17,asseJ17,J17,revolute,"0,08",0,"-0,076",0,"1,5708",0,rifJ17,0,0,-1,37,"6,36",-314,"3,14",,,1,"0,1",,,,
