Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
awtube3_baselink,0,0,"0,01225",0,0,0,"1,4","0,0027198",0,0,"0,0027182",-6E-08,"0,0052775",0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_baselink.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_baselink.STL,,baseS-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
awtube3_link1,"-0,00022","0,00588","0,08483",0,0,0,"8,01","0,033415","-5,883E-05","-8,959E-05","0,03218","-0,00037828","0,019497",0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link1.STL,,GIUNTO1s_-1,link1,asselink1,awtube3_joint1,revolute,0,0,"0,0245",0,0,0,awtube3_baselink,0,0,-1,150,"2,71","-3,14","3,14",,,1,"0,1",,,,
awtube3_link2,4E-05,"-0,1088","0,11565",0,0,0,"20,94","0,903867","-0,00021119","3,197E-05","0,11612141","-0,03589009","0,85911964",0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link2.STL,,flangia1s-1;GIUNTO2_S-1;DR00200-1;giunto3S-1,link2,asse link2,awtube3_joint2,revolute,0,"0,0915","0,077","-1,5708",0,0,awtube3_link1,0,0,-1,360,"1,2436","-3,14","3,14",,,1,"0,1",,,,
awtube3_link3,"-0,00295","0,0001","0,12496",0,0,0,"5,81","0,02580946","-3,796E-05","-0,00054787","0,03096019","3,29E-05","0,01531032",0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link3.STL,,flangia2S-1;giunto3S-2,link3,asse link3,awtube3_joint3,revolute,0,"-0,5","0,0675","3,1416",0,0,awtube3_link2,0,0,-1,80,"3,61","-4,71","1,57",,,1,"0,1",,,,
awtube3_link4,"-0,00253","0,00011","0,217",0,0,0,"4,41","0,023597","-3,827E-05","0,00038829","0,029219","9,23E-06","0,012417",0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link4.STL,"0,86667","0,86667","0,8902",1,0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link4.STL,,DR00201-1;giunto4S -1;flangia4s-1,link4,asse link4,awtube3_joint4,revolute,"0,066",0,"0,159",0,"1,5708",0,awtube3_link3,0,0,-1,80,"3,61","-3,14","3,14",,,1,"0,1",,,,
awtube3_link5,"-0,13","-0,19534","-0,0539",0,0,0,"3,89","0,024795","-2,785E-05","5,84E-05","0,011586","0,0050316","0,019992",0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link5.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link5.STL,,MONOBRACCIOS-1;giunto4S -2;flangia4s-2,link5,asse link5,awtube3_joint5,revolute,"0,0745",0,"0,244",0,"1,5708",0,awtube3_link4,0,0,-1,47,"4,5","-1,6","4,71",,,1,"0,1",,,,
awtube3_link6,9E-05,8E-05,"-0,01309",0,0,0,"0,25","0,00015133","-1,12E-06","-2,3E-07","0,00019631",-4E-07,"0,00028746",0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link6.STL,"0,8902","0,8902","0,91373",1,0,0,0,0,0,0,package://awtube30808v1/meshes/awtube3_link6.STL,,flangiaISOS-1,link6,asse link6,awtube3_joint6,revolute,0,"-0,315","-0,074","1,5708",0,0,awtube3_link5,0,0,-1,37,"6,36","-3,14","3,14",,,1,"0,1",,,,
