Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
rifJ25,0,0,"-0,086",0,0,0,8,"0,033132","4,051E-05","5,876E-05","0,019469","-0,00035797","0,031908",0,0,0,0,0,0,package://awjoint2580/meshes/rifJ25.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awjoint2580/meshes/rifJ25.STL,,J25-1,rifJ25,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
J25,0,0,"-0,0084",0,0,0,"0,51","0,00070332",0,0,"0,00074116",0,"0,00136991",0,0,0,0,0,0,package://awjoint2580/meshes/J25.STL,"0,8902","0,8902","0,91373",1,0,0,0,0,0,0,package://awjoint2580/meshes/J25.STL,,D103637-1,J25,asseJ25,J25,revolute,"0,0925",0,"-0,0875",0,"1,5708",0,rifJ25,0,0,-1,150,"2,71","-3,14","3,14",,,1,"0,1",,,,
