Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,"0,01224",0,0,0,"1,95","0,006968","-2,18E-06","1,4E-07","0,0069639","-3,4E-07","0,013626",0,0,0,0,0,0,package://awtube31814v1/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31814v1/meshes/base_link.STL,,Copia di base^LY200175_semplificato-1,base_,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0,"0,00349","0,076",0,0,0,"16,69","0,094946","2,147E-05","2,307E-05","0,092858","0,0008169","0,07077",0,0,0,0,0,0,package://awtube31814v1/meshes/link1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31814v1/meshes/link1.STL,,Copia di GIUNTO1_^LY200175_semplificato-1,1,asse_link1,joint1,revolute,0,0,"0,025",0,0,0,base_link,0,0,-1,600,"1,2436","-3,14","3,14",,,1,"0,1",,,,
link2,0,"0,30898","0,12674",0,0,0,"39,94","4,4546","0,00046796","-0,000451","0,22756","0,16036","4,4772",0,0,0,0,0,0,package://awtube31814v1/meshes/link2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31814v1/meshes/link2.STL,,Copia di flangia1^LY200175_semplificato-1;Copia di GIUNTO1_^LY200175_semplificato-2;Copia di flangia2^LY200175_semplificato-1;Copia di link1^LY200175_semplificato-1;Copia di flangia3^LY200175_semplificato-1;Copia di GIUNTO1_^LY200175_semplificato-3,2,ass_link2,joint2,revolute,0,"0,1045","0,092","1,5708",0,"3,1416",link1,0,0,-1,690,"0,86","-3,14","3,14",,,1,"0,1",,,,
link3,"0,00016","-0,0013","0,1197",0,0,0,"11,22","0,074875","-8,918E-05","7,47E-06","0,058319","0,00045279","0,047599",0,0,0,0,0,0,package://awtube31814v1/meshes/link3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31814v1/meshes/link3.STL,,Copia di flangia4_^LY200175_semplificato-1;Copia di GIUNTO3_^LY200175_semplificato-1;Copia di flangia5^LY200175_semplificato-1,3,asse_link3,joint3,revolute,0,"0,725","0,0495","3,1416",0,"-3,1416",link2,0,0,-1,350,"1,24","-3,14","3,14",,,1,"0,1",,,,
link4,"0,00017","-0,00138","0,52167",0,0,0,"10,41","0,27041","-9,998E-05","4,737E-05","0,2559","-0,00094108","0,0041331",0,0,0,0,0,0,package://awtube31814v1/meshes/link4.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31814v1/meshes/link4.STL,,Copia di flangia5^LY200175_semplificato-2;Copia di link2^LY200175_semplificato-1;Copia di flangia6^LY200175_semplificato-1;Copia di flangia7^LY200175_semplificato-1;Copia di GIUNTO3_^LY200175_semplificato-2,4,asse_link4,joint4,revolute,0,"0,0874","0,154","-1,5708",0,0,link3,0,0,-1,145,"2,71","-3,14","3,14",,,1,"0,1",,,,
link5,"-0,0001","-0,21611","-0,05722",0,0,0,"5,53","0,0513796","-2,862E-05","-5,2918E-10","0,021934","0,013126","0,04297",0,0,0,0,0,0,package://awtube31814v1/meshes/link5.STL,"0,69804","0,69804","0,69804",1,0,0,0,0,0,0,package://awtube31814v1/meshes/link5.STL,,monobraccio-2;Copia di giunto4^LY200175_semplificato-1;cover1-1;cover2-1;Copia di flangia8^LY200175_semplificato-1,5,asse_link5,joint5,revolute,0,"0,0924","0,5876","-1,5708",0,0,link4,0,0,-1,145,"2,71","-1,6","1,6",,,1,"0,1",,,,
link6,0,0,"-0,03078",0,0,0,"0,42","0,00044945","-4,07E-06",-3E-07,"0,00030626","-6,8E-07","0,00067925",0,0,0,0,0,0,package://awtube31814v1/meshes/link6.STL,"0,8902","0,8902","0,91373",1,0,0,0,0,0,0,package://awtube31814v1/meshes/link6.STL,,Copia di MANDRINO_^LY200175_semplificato-2,6,asse_link6,joint6,revolute,0,"-0,3681","-0,0924","1,5708",0,0,link5,0,0,-1,85,"3,61","-3,14","3,14",,,1,"0,1",,,,
