Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
awtube3_baselink,0,0,"0,012",0,0,0,"2,35","0,00787708",0,0,"0,00787093",3E-08,"0,014627",0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_baselink.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_baselink.STL,,baseM-1,awtube3_base link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
awtube3_link1,0,"0,00423","0,09312",0,0,0,"13,53","0,07436319","1,243E-05","1,542E-05","0,07237734","-0,000349","0,05414614",0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link1.STL,,GIUNTO1_M-1,awtube3_link1,asse link1,awtube3_joint1,revolute,0,0,"0,025",0,0,0,awtube3_baselink,0,0,-1,360,"1,24","-3,14","3,14",,,1,"0,1",,,,
awtube3_link2,-6E-05,"-0,18233","0,12468",0,0,0,"25,21","1,579834","0,0005783","-0,0003135","0,085833","0,63253542","1,52496538",0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link2.STL,,flangia1M-1;GIUNTO1_M-2;link1-1;GIUNTO3M_-1,awtube3_link2,asse link2,awtube3_link2,revolute,0,"0,1045","0,0915","1,5708",0,"-3,1416",awtube3_link1,0,0,-1,360,"1,24","-3,14","3,1",,,1,"0,1",,,,
awtube3_link3,"-0,00281",7E-05,"0,11828",0,0,0,"5,97","0,11042464","-3,927E-05","-0,00257","0,115612","9,279E-05","0,01580659",0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link3.STL,,flangia2M-1;giunto4M-1,awtube3_link3,asse link3,awtube3_joint3,revolute,0,"0,5235","0,0545","-3,1416",0,"-3,1416",awtube3_link2,0,0,-1,170,"2,5","-4,71","1,57",,,1,"0,1",,,,
awtube3_link4,"-0,0033","0,00011","0,35508",0,0,0,"5,22","0,073488","-3,818E-05","-0,00080528","0,07863","4,173E-05","0,013846",0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link4.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link4.STL,,link2-1;giunto4M-2,awtube3_link4,asse link4,awtube3_joint4,revolute,"0,066",0,"0,1591",0,"1,5708",0,awtube3_link3,0,0,-1,80,"3,4","-3,14","3,14",,,1,"0,1",,,,
awtube3_link5,"0,00013","0,191","-0,04671",0,0,0,"4,01","0,028283","-2,45E-05","-2,965E-05","0,012301","-0,041763","0,16942",0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link5.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link5.STL,,monobraccio-1;giunto6 -1;flangia3M-1,awtube3_link5,asse link5,awtube3_joint5,revolute,"0,066",0,"0,409",0,"1,5708",0,awtube3_link4,0,0,-1,80,"3,4","-1,6","4,71",,,1,"0,1",,,,
awtube3_link6,8E-05,-9E-05,"-0,01309",0,0,0,"0,25","0,00015313","1,12E-06","-1,6E-07","0,00015133",-7E-08,"0,00028746",0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link6.STL,"0,8902","0,8902","0,91373",1,0,0,0,0,0,0,package://awtube31210v1/meshes/awtube3_link6.STL,,flangiaIS-1,awtube3_link6,asse link6,awtube3_joint6,revolute,0,"-0,315","-0,0655","-1,5708",0,"-3,1416",awtube3_link5,0,0,-1,37,"6,36","-3,14","3,14",,,1,"0,1",,,,
